event_kind,sensor,message,timestamp,value,thread_id,global_seq,local_seq
GAP,humidity-4,gap 0.64s > 0.50,2025-10-21 05:50:25.123,64.15,38248,19,1
THRESHOLD,humidity-4,value 69.38 > 65.00,2025-10-21 05:50:25.293,69.38,38248,23,2
GAP,humidity-4,gap 0.50s > 0.50,2025-10-21 05:50:26.061,57.02,38248,41,4
GAP,humidity-4,gap 0.58s > 0.50,2025-10-21 05:50:27.239,64.46,38248,64,7
THRESHOLD,humidity-4,value 65.35 > 65.00,2025-10-21 05:50:28.011,65.35,38248,81,9
GAP,humidity-4,gap 0.57s > 0.50,2025-10-21 05:50:28.011,65.35,38248,81,9
GAP,pressure-6,gap 0.51s > 0.50,2025-10-21 05:50:24.998,99.9,21352,14,1
THRESHOLD,pressure-6,value 101.68 > 101.50,2025-10-21 05:50:25.825,101.68,21352,35,3
GAP,pressure-6,gap 0.71s > 0.50,2025-10-21 05:50:27.711,101.11,21352,76,7
GAP,pressure-5,gap 0.66s > 0.50,2025-10-21 05:50:25.700,100.33,20728,32,3
GAP,pressure-5,gap 0.69s > 0.50,2025-10-21 05:50:26.957,100.91,20728,58,6
GAP,pressure-5,gap 0.55s > 0.50,2025-10-21 05:50:27.995,101.4,20728,79,8
THRESHOLD,pressure-5,value 101.95 > 101.50,2025-10-21 05:50:28.696,101.95,20728,93,9
GAP,pressure-5,gap 0.70s > 0.50,2025-10-21 05:50:28.696,101.95,20728,93,9
THRESHOLD,humidity-3,value 65.22 > 65.00,2025-10-21 05:50:24.485,65.22,25216,0,0
GAP,humidity-3,gap 0.68s > 0.50,2025-10-21 05:50:25.168,50.01,25216,21,1
GAP,humidity-3,gap 0.71s > 0.50,2025-10-21 05:50:26.362,59.73,25216,46,3
GAP,humidity-3,gap 0.53s > 0.50,2025-10-21 05:50:26.894,61.76,25216,55,4
GAP,humidity-3,gap 0.58s > 0.50,2025-10-21 05:50:27.948,41.79,25216,77,6
THRESHOLD,humidity-3,value 69.07 > 65.00,2025-10-21 05:50:28.386,69.07,25216,87,7
THRESHOLD,humidity-3,value 69.13 > 65.00,2025-10-21 05:50:29.342,69.13,25216,99,9
GAP,humidity-3,gap 0.63s > 0.50,2025-10-21 05:50:29.342,69.13,25216,99,9
GAP,temperature-1,gap 0.71s > 0.50,2025-10-21 05:50:25.199,38.44,20532,22,1
GAP,temperature-1,gap 0.66s > 0.50,2025-10-21 05:50:25.857,40.75,20532,36,2
GAP,temperature-1,gap 0.69s > 0.50,2025-10-21 05:50:26.987,39.63,20532,60,4
THRESHOLD,temperature-1,value 41.86 > 41.00,2025-10-21 05:50:27.538,41.86,20532,72,5
GAP,temperature-1,gap 0.55s > 0.50,2025-10-21 05:50:27.538,41.86,20532,72,5
GAP,temperature-1,gap 0.52s > 0.50,2025-10-21 05:50:28.057,36.95,20532,82,6
THRESHOLD,temperature-1,value 41.57 > 41.00,2025-10-21 05:50:28.963,41.57,20532,96,9
GAP,general-7,gap 0.56s > 0.50,2025-10-21 05:50:25.045,42.93,27236,15,1
GAP,general-7,gap 0.52s > 0.50,2025-10-21 05:50:25.983,0.82,27236,38,3
GAP,general-7,gap 0.64s > 0.50,2025-10-21 05:50:26.627,94.51,27236,52,4
GAP,general-7,gap 0.66s > 0.50,2025-10-21 05:50:27.286,24.9,27236,65,5
GAP,general-7,gap 0.68s > 0.50,2025-10-21 05:50:27.964,15.27,27236,78,6
GAP,general-7,gap 0.53s > 0.50,2025-10-21 05:50:28.496,60.77,27236,89,7
GAP,general-10,gap 0.52s > 0.50,2025-10-21 05:50:25.482,77.47,42644,28,2
GAP,general-10,gap 0.56s > 0.50,2025-10-21 05:50:26.046,92.11,42644,40,3
GAP,general-10,gap 0.55s > 0.50,2025-10-21 05:50:26.595,44.62,42644,51,4
GAP,general-10,gap 0.66s > 0.50,2025-10-21 05:50:27.600,78.28,42644,73,6
GAP,general-10,gap 0.56s > 0.50,2025-10-21 05:50:29.011,18.86,42644,97,9
GAP,general-9,gap 0.58s > 0.50,2025-10-21 05:50:26.330,86.64,14016,45,5
GAP,general-8,gap 0.67s > 0.50,2025-10-21 05:50:25.763,63.62,28460,34,3
GAP,general-8,gap 0.66s > 0.50,2025-10-21 05:50:26.423,1.45,28460,48,4
GAP,general-8,gap 0.61s > 0.50,2025-10-21 05:50:27.034,29.74,28460,62,5
GAP,general-8,gap 0.55s > 0.50,2025-10-21 05:50:27.995,80.12,28460,80,7
GAP,general-8,gap 0.64s > 0.50,2025-10-21 05:50:28.634,24.5,28460,90,8
GAP,general-8,gap 0.61s > 0.50,2025-10-21 05:50:29.248,80.49,28460,98,9
GAP,temperature-2,gap 0.56s > 0.50,2025-10-21 05:50:25.045,38.58,42572,17,1
THRESHOLD,temperature-2,value 41.10 > 41.00,2025-10-21 05:50:25.920,41.1,42572,37,4
GAP,temperature-2,gap 0.64s > 0.50,2025-10-21 05:50:26.564,40.77,42572,49,5
